jpncore1#  show ip bgp
BGP routing table information for VRF default
Router identifier 10.30.95.1, local AS number 65200
Route status codes: s - suppressed, * - valid, > - active, E - ECMP head, e - ECMP
                    S - Stale
Origin codes: i - IGP, e - EGP, ? - incomplete
AS Path Attributes: Or-ID - Originator ID, C-LST - Cluster List, LL Nexthop - Link Local Nexthop

      Network             Next Hop         Metric  LocPref Weight Path
 *    10.134.0.0/20       10.134.17.49     0       1000    0      65429 i Or-ID: 10.30.63.1 C-LST: 10.30.47.254 10.30.31.3
 * >  10.134.17.128/26    10.30.63.1       0       100     0      ? Or-ID: 10.30.63.1 C-LST: 10.30.31.3
 *    10.134.17.128/26    10.30.63.1       0       100     0      ? Or-ID: 10.30.63.1 C-LST: 10.30.47.254
 * >  10.192.52.0/24      10.30.47.1       0       100     0      ?
 *    10.192.52.0/24      10.30.47.1       0       100     0      ? Or-ID: 10.30.47.254 C-LST: 10.30.31.3
 * >  10.193.52.0/24      10.30.47.1       0       100     0      ?
 *    10.193.52.0/24      10.30.47.1       0       100     0      ? Or-ID: 10.30.47.254 C-LST: 10.30.31.3
 *    10.195.10.64/28     10.30.62.5       0       100     0      i Or-ID: 10.30.31.6 C-LST: 10.30.31.3
 * >  10.196.101.8/29     -                1       0       -      i
 * >  10.196.102.8/29     10.30.95.2       0       100     0      i Or-ID: 10.30.95.2 C-LST: 10.30.31.3
 *    10.196.102.8/29     10.30.95.2       0       100     0      i Or-ID: 10.30.95.2 C-LST: 10.30.47.254
 * >  50.93.139.128/29    10.134.17.49     0       100     0      65429 i Or-ID: 10.30.63.1 C-LST: 10.30.31.3
 *    50.93.139.128/29    10.134.17.49     0       100     0      65429 i Or-ID: 10.30.63.1 C-LST: 10.30.47.254
 * >  50.93.139.136/29    10.134.17.53     0       100     0      65429 i Or-ID: 10.30.63.2 C-LST: 10.30.31.3
 *    50.93.139.136/29    10.134.17.53     0       100     0      65429 i Or-ID: 10.30.63.2 C-LST: 10.30.47.254
 * >  50.93.139.248/32    10.134.17.49     0       100     0      65429 i Or-ID: 10.30.63.1 C-LST: 10.30.31.3
 *    50.93.139.248/32    10.134.17.49     0       100     0      65429 i Or-ID: 10.30.63.1 C-LST: 10.30.47.254
 * >  50.93.139.249/32    10.134.17.53     0       100     0      65429 i Or-ID: 10.30.63.2 C-LST: 10.30.31.3
 *    50.93.139.249/32    10.134.17.53     0       100     0      65429 i Or-ID: 10.30.63.2 C-LST: 10.30.47.254
 * >  83.151.116.128/26   10.103.2.77      0       100     0      62832 62832 62832 62832 62832 i Or-ID: 10.30.63.1 C-LST: 10.30.31.3
 *    83.151.116.128/26   10.103.2.77      0       100     0      62832 62832 62832 62832 62832 i Or-ID: 10.30.63.1 C-LST: 10.30.47.254
