 B I    10.192.52.0/24 [200/0] via 10.30.94.6, Ethernet33
 C      10.192.114.0/24 is directly connected, Vlan590
 B I    10.193.52.0/24 [200/0] via 10.30.94.6, Ethernet33
 O      10.195.0.100/30 [110/1130] via 10.30.94.29, Vlan216
 O      10.195.1.100/30 [110/1130] via 10.30.94.29, Vlan216
 O      10.195.10.64/28 [110/2220] via 10.30.94.29, Vlan216
 C      10.196.101.8/29 is directly connected, Vlan413
 B I    10.196.102.8/29 [200/0] via 10.30.94.2, Vlan902
 O E1   10.201.0.87/32 [110/11030] via 10.30.94.29, Vlan216
 O E1   10.201.0.119/32 [110/11030] via 10.30.94.29, Vlan216
 O      10.210.4.60/30 [110/1010] via 10.30.94.29, Vlan216
 O      10.210.4.64/30 [110/1110] via 10.30.94.29, Vlan216
 B I    10.0.0.0/8 [200/0] via 10.30.94.29, Vlan216
 B I    50.93.139.128/29 [200/0] via 10.30.94.29, Vlan216
 B I    50.93.139.136/29 [200/0] via 10.30.94.29, Vlan216
 B I    50.93.139.248/32 [200/0] via 10.30.94.29, Vlan216
 B I    50.93.139.249/32 [200/0] via 10.30.94.29, Vlan216
 B I    83.151.116.128/26 [200/0] via 10.30.94.29, Vlan216
 O      100.122.234.0/29 [110/1120] via 10.30.94.29, Vlan216
 B I    103.22.167.0/24 [200/0] via 10.30.94.29, Vlan216
 B I    103.28.73.0/24 [200/0] via 10.30.94.29, Vlan216
 O E1   110.50.74.9/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.74.10/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.74.13/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.74.14/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.74.21/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.74.22/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.74.26/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.74.27/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.74.47/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.74.48/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.74.66/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.74.74/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.75.5/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.75.12/32 [110/11120] via 10.30.94.29, Vlan216
 O E1   110.50.75.26/32 [110/11120] via 10.30.94.29, Vlan216
 B I    163.124.202.0/24 [200/0] via 10.30.94.29, Vlan216
 B I    163.124.230.32/27 [200/0] via 10.30.94.29, Vlan216
 O      165.39.11.112/29 [110/110] via 10.30.94.6, Ethernet33
 O      165.39.112.140/30 [110/1030] via 10.30.94.29, Vlan216
 O      165.39.113.192/27 [110/1524] via 10.30.94.29, Vlan216
 O E1   165.39.114.178/32 [110/11520] via 10.30.94.29, Vlan216
 O E1   165.39.114.183/32 [110/11520] via 10.30.94.29, Vlan216
 O E1   165.32.0.0/12 [110/10120] via 10.30.94.6, Ethernet33
                                  via 10.30.94.2, Vlan902
 O E1   167.202.58.0/24 [110/10120] via 10.30.94.6, Ethernet33
                                    via 10.30.94.2, Vlan902
 O E1   167.202.60.0/24 [110/10120] via 10.30.94.6, Ethernet33
                                    via 10.30.94.2, Vlan902
 O E2   170.242.254.117/32 [110/20] via 10.30.94.29, Vlan216
 O E1   170.240.0.0/14 [110/10120] via 10.30.94.6, Ethernet33
                                   via 10.30.94.2, Vlan902
 O E1   171.147.239.196/32 [110/10120] via 10.30.94.6, Ethernet33
                                       via 10.30.94.2, Vlan902
 O E1   171.147.239.197/32 [110/10120] via 10.30.94.6, Ethernet33
                                       via 10.30.94.2, Vlan902
 O E1   171.147.240.22/32 [110/10120] via 10.30.94.6, Ethernet33
                                      via 10.30.94.2, Vlan902
 O      172.16.0.0/28 [110/1110] via 10.30.94.29, Vlan216
 O      172.31.86.232/29 [110/110] via 10.30.94.6, Ethernet33
 B I    172.31.0.0/16 [200/0] via 10.30.94.29, Vlan216
 O      192.168.212.128/27 [110/1020] via 10.30.94.29, Vlan216
 O      192.168.212.160/27 [110/1120] via 10.30.94.29, Vlan216
 C      192.168.212.192/27 is directly connected, Vlan594
 C      192.168.212.224/27 is directly connected, Vlan596
